Latin Name,Bird Name,French Name,Difficulty,View Count,URL anglais,URL français,Image Low,Image High,Sound URL,Score
Accipiter atricapillus,American Goshawk,Autour d'Amérique,3,16,https://en.wikipedia.org/wiki/American_Goshawk,https://fr.wikipedia.org/wiki/Autour_d%27Am%C3%A9rique,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Accipiter_gentilisAAP045CA.jpg/500px-Accipiter_gentilisAAP045CA.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Accipiter_gentilisAAP045CA.jpg,,0
Accipiter brevipes,Levant Sparrowhawk,Épervier à pieds courts,3,827,https://en.wikipedia.org/wiki/Levant_Sparrowhawk,https://fr.wikipedia.org/wiki/%C3%89pervier_%C3%A0_pieds_courts,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Accipiter_brevipes_1.jpg/500px-Accipiter_brevipes_1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Accipiter_brevipes_1.jpg,https://xeno-canto.org/143001/download,0
Accipiter gentilis,Eurasian Goshawk,Autour des palombes,2,44336,https://en.wikipedia.org/wiki/Eurasian_Goshawk,https://fr.wikipedia.org/wiki/Autour_des_palombes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/500px-Northern_Goshawk_ad_M2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Northern_Goshawk_ad_M2.jpg,https://xeno-canto.org/986158/download,0
Accipiter nisus,Eurasian Sparrowhawk,Épervier d'Europe,1,62738,https://en.wikipedia.org/wiki/Eurasian_Sparrowhawk,https://fr.wikipedia.org/wiki/%C3%89pervier_d%27Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/%D0%AF%D1%81%D1%82%D1%80%D0%B5%D0%B1-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B5%D0%BB%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%28Accipiter_nisus%2C_m%29%2C_%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA.jpg/500px-%D0%AF%D1%81%D1%82%D1%80%D0%B5%D0%B1-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B5%D0%BB%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%28Accipiter_nisus%2C_m%29%2C_%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/%D0%AF%D1%81%D1%82%D1%80%D0%B5%D0%B1-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B5%D0%BB%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%28Accipiter_nisus%2C_m%29%2C_%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA.jpg/1024px-%D0%AF%D1%81%D1%82%D1%80%D0%B5%D0%B1-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B5%D0%BB%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%28Accipiter_nisus%2C_m%29%2C_%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA.jpg,https://xeno-canto.org/976413/download,0
Acridotheres cristatellus,Crested Myna,Martin huppé,3,798,https://en.wikipedia.org/wiki/Crested_Myna,https://fr.wikipedia.org/wiki/Martin_hupp%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Crested_myna%2C_Osaka%2C_Japan.jpg/500px-Crested_myna%2C_Osaka%2C_Japan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Crested_myna%2C_Osaka%2C_Japan.jpg/1024px-Crested_myna%2C_Osaka%2C_Japan.jpg,https://xeno-canto.org/67698/download,0
Acrocephalus agricola,Paddyfield Warbler,Rousserolle isabelle,3,277,https://en.wikipedia.org/wiki/Paddyfield_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_isabelle,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Paddyfield_Warbler_%28Acrocephalus_agricola%29_in_Kolkata_Im_IMG_0496.jpg/500px-Paddyfield_Warbler_%28Acrocephalus_agricola%29_in_Kolkata_Im_IMG_0496.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Paddyfield_Warbler_%28Acrocephalus_agricola%29_in_Kolkata_Im_IMG_0496.jpg,https://xeno-canto.org/972260/download,0
Acrocephalus arundinaceus,Great Reed Warbler,Rousserolle turdoïde,2,5758,https://en.wikipedia.org/wiki/Great_Reed_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_turdo%C3%AFde,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/500px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/1024px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg,https://xeno-canto.org/939912/download,0
Acrocephalus dumetorum,Blyth's Reed Warbler,Rousserolle des buissons,3,557,https://en.wikipedia.org/wiki/Blyth%27s_Reed_Warbler,https://fr.wikipedia.org/wiki/Rousserolle_des_buissons,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg/500px-Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg,https://xeno-canto.org/975218/download,0
Acrocephalus melanopogon,Moustached Warbler,Lusciniole à moustaches,3,1045,https://en.wikipedia.org/wiki/Moustached_Warbler,https://fr.wikipedia.org/wiki/Lusciniole_%C3%A0_moustaches,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Moustached_Warbler_Acrocephalus_melanopogon_by_Dr._Raju_Kasambe_%282%29.jpg/500px-Moustached_Warbler_Acrocephalus_melanopogon_by_Dr._Raju_Kasambe_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Moustached_Warbler_Acrocephalus_melanopogon_by_Dr._Raju_Kasambe_%282%29.jpg/1024px-Moustached_Warbler_Acrocephalus_melanopogon_by_Dr._Raju_Kasambe_%282%29.jpg,https://xeno-canto.org/974707/download,0
Acrocephalus paludicola,Aquatic Warbler,Phragmite aquatique,3,1373,https://en.wikipedia.org/wiki/Aquatic_Warbler,https://fr.wikipedia.org/wiki/Phragmite_aquatique,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Seggenrohrsaenger_hand.jpg/500px-Seggenrohrsaenger_hand.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Seggenrohrsaenger_hand.jpg,https://xeno-canto.org/976411/download,0
