Latin Name,Score,Difficulty,Sound URL,Image URL,Bird Name,French Name,View Count
Dendrocygna viduata,0,2,https://xeno-canto.org/973598/download,https://upload.wikimedia.org/wikipedia/commons/3/39/Dendrocygna_viduata_upright.jpg,White-faced Whistling-Duck,Dendrocygne veuf,2118
Dendrocygna bicolor,0,3,https://xeno-canto.org/459633/download,https://upload.wikimedia.org/wikipedia/commons/3/3e/Fulvous_Whistling_Duck_JG.jpg,Fulvous Whistling-Duck,Dendrocygne fauve,1981
Anser indicus,0,3,https://xeno-canto.org/960229/download,https://upload.wikimedia.org/wikipedia/commons/1/1b/Bar-headed_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,Bar-headed Goose,Oie tigrée,747
Anser caerulescens,0,2,https://xeno-canto.org/540212/download,https://upload.wikimedia.org/wikipedia/commons/1/1f/Snow_goose_in_Central_Park_%2833138%29.jpg,Snow Goose,Oie des neiges,11514
Anser rossii,0,3,https://xeno-canto.org/452083/download,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ross%27s_Goose_%28Chen_rossii%29_%2823321411711%29.jpg,Ross's Goose,Oie de Ross,2
Anser anser,0,2,https://xeno-canto.org/972497/download,https://upload.wikimedia.org/wikipedia/commons/5/57/Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,Graylag Goose,Oie cendrée,24937
Anser albifrons,0,2,https://xeno-canto.org/981587/download,https://upload.wikimedia.org/wikipedia/commons/0/0f/Greater_white-fronted_goose_in_flight-1045.jpg,Greater White-fronted Goose,Oie rieuse,3863
Anser erythropus,0,2,https://xeno-canto.org/981361/download,https://upload.wikimedia.org/wikipedia/commons/9/97/Anser_erythropus.jpg,Lesser White-fronted Goose,Oie naine,3945
Anser fabalis,0,2,https://xeno-canto.org/952482/download,https://upload.wikimedia.org/wikipedia/commons/0/07/Anser_fabalis_fabalis%2C_Kurortny_District%2C_St_Petersburg%2C_Russia_1.jpg,Taiga Bean-Goose,Oie des moissons,2766
Anser serrirostris,0,3,https://xeno-canto.org/990502/download,https://upload.wikimedia.org/wikipedia/commons/5/50/101777_%E8%B1%86%E9%9B%81%E4%BE%86%E8%87%A8.jpg,Tundra Bean-Goose,Oie de la toundra,793
Anser brachyrhynchus,0,2,https://xeno-canto.org/982624/download,https://upload.wikimedia.org/wikipedia/commons/5/5b/2019-03-25_Anser_brachyrhynchus%2C_Killingworth_Lake%2C_Northumberland_1.jpg,Pink-footed Goose,Oie à bec court,2064
Branta leucopsis,0,2,https://xeno-canto.org/982259/download,https://upload.wikimedia.org/wikipedia/commons/f/f5/Barnacle-Goose.jpg,Barnacle Goose,Bernache nonnette,10467
Branta hutchinsii,0,3,https://xeno-canto.org/530560/download,https://upload.wikimedia.org/wikipedia/commons/b/b4/AleutianCanadaGoose2.jpg,Cackling Goose,Bernache de Hutchins,3
Branta canadensis,0,3,https://xeno-canto.org/981815/download,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,Canada Goose,Bernache du Canada,75
Branta ruficollis,0,2,https://xeno-canto.org/872113/download,https://upload.wikimedia.org/wikipedia/commons/7/70/Red-breasted_goose_arp.jpg,Red-breasted Goose,Bernache à cou roux,3747
Cygnus olor,0,2,https://xeno-canto.org/925704/download,https://upload.wikimedia.org/wikipedia/commons/a/a2/CygneVaires.jpg,Mute Swan,Cygne tuberculé,26493
Cygnus columbianus,0,2,https://xeno-canto.org/976455/download,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg,Tundra Swan,Cygne siffleur,2670
Cygnus cygnus,0,2,https://xeno-canto.org/982355/download,https://upload.wikimedia.org/wikipedia/commons/1/1c/Cygnus_cygnus_Singschwan.jpg,Whooper Swan,Cygne chanteur,9109
Alopochen aegyptiaca,0,2,https://xeno-canto.org/980649/download,https://upload.wikimedia.org/wikipedia/commons/1/15/Egyptian_Goose_JG.jpg,Egyptian Goose,Ouette d'Égypte,34871
Tadorna ferruginea,0,2,https://xeno-canto.org/960252/download,https://upload.wikimedia.org/wikipedia/commons/d/d0/A_couple_of_Tadorna_ferruginea.jpg,Ruddy Shelduck,Tadorne casarca,8044
Tadorna tadorna,0,3,https://xeno-canto.org/975210/download,https://upload.wikimedia.org/wikipedia/commons/e/ea/Common_Shelduck_%28Tadorna_tadorna%29_at_Sylvan_Heights.jpg,Common Shelduck,Tadorne de Belon,105
Aix sponsa,0,2,https://xeno-canto.org/872894/download,https://upload.wikimedia.org/wikipedia/commons/e/e7/Wood_Duck_Wissahickon_Creek.png,Wood Duck,Canard branchu,8462
Aix galericulata,0,2,https://xeno-canto.org/974788/download,https://upload.wikimedia.org/wikipedia/commons/4/43/Pair_of_mandarin_ducks.jpg,Mandarin Duck,Canard mandarin,20223
Sibirionetta formosa,0,3,https://xeno-canto.org/674861/download,https://upload.wikimedia.org/wikipedia/commons/2/21/Anas.formosa.4.jpg,Baikal Teal,Sarcelle élégante,1084
Spatula querquedula,0,2,https://xeno-canto.org/925169/download,https://upload.wikimedia.org/wikipedia/commons/9/92/Garganey%2C_Israel.jpg,Garganey,Sarcelle d'été,4188
Spatula discors,0,3,https://xeno-canto.org/341821/download,https://upload.wikimedia.org/wikipedia/commons/6/65/Blue-Winged_Teal.jpg,Blue-winged Teal,Spatula discors,18
Spatula clypeata,0,2,https://xeno-canto.org/982014/download,https://upload.wikimedia.org/wikipedia/commons/a/a7/Northern_shoveler_Steve_Sinclair_outreach_use_only_%2819838806616%29.jpg,Northern Shoveler,Canard souchet,8016
Mareca strepera,0,2,https://xeno-canto.org/980288/download,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gadwall-Anas-strepera.jpg,Gadwall,Canard chipeau,6229
Mareca falcata,0,3,https://xeno-canto.org/821120/download,https://upload.wikimedia.org/wikipedia/commons/6/62/Falcated_duck_1.jpg,Falcated Duck,Mareca falcata,21
Mareca penelope,0,2,https://xeno-canto.org/981814/download,https://upload.wikimedia.org/wikipedia/commons/5/53/Mareca_penelope_kuribo_cropped.jpg,Eurasian Wigeon,Canard siffleur,6538
Mareca americana,0,3,https://xeno-canto.org/857365/download,https://upload.wikimedia.org/wikipedia/commons/b/b5/Anas_americana_-_drake.jpg,American Wigeon,Canard d'Amérique,1432
Anas poecilorhyncha,0,3,https://xeno-canto.org/920581/download,https://upload.wikimedia.org/wikipedia/commons/e/ec/Anas_zonorhyncha_swimming.jpg,Eastern Spot-billed Duck,Canard de Chine,519
Anas platyrhynchos,0,1,https://xeno-canto.org/980458/download,https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg,Mallard,Canard colvert,75032
Anas rubripes,0,2,https://xeno-canto.org/838360/download,https://upload.wikimedia.org/wikipedia/commons/c/c7/Blackduck.jpg,American Black Duck,Canard noir,3537
Anas acuta,0,2,https://xeno-canto.org/981846/download,https://upload.wikimedia.org/wikipedia/commons/0/0b/Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg,Northern Pintail,Canard pilet,7808
Anas carolinensis,0,3,https://xeno-canto.org/919829/download,https://upload.wikimedia.org/wikipedia/commons/0/07/Green-winged_Teal%2C_Port_Aransas%2C_Texas.jpg,Green-winged Teal,Sarcelle à ailes vertes,1157
Marmaronetta angustirostris,0,3,https://xeno-canto.org/781142/download,https://upload.wikimedia.org/wikipedia/commons/d/d4/Marmaronetta_angustirostris%2C_London_Wetland_Centre%2C_UK_-_Diliff.jpg,Marbled Duck,Marmaronette marbrée,1937
Netta rufina,0,2,https://xeno-canto.org/982110/download,https://upload.wikimedia.org/wikipedia/commons/5/50/Netta_rufina_%28Red-crested_Pochard%29_Male%2C_London_Wetland_Centre_-_Diliff.jpg,Red-crested Pochard,Nette rousse,6957
Aythya valisineria,0,3,https://xeno-canto.org/371522/download,https://upload.wikimedia.org/wikipedia/commons/e/e1/Aythya_valisineria_at_Las_Gallinas_Wildlife_Ponds.jpg,Canvasback,Fuligule à dos blanc,949
Aythya americana,0,2,https://xeno-canto.org/603726/download,https://upload.wikimedia.org/wikipedia/commons/5/52/Redhead_-_Aythya_americana%2C_Oakley_Street%2C_Cambridge%2C_Maryland.jpg,Redhead (bird),Fuligule à tête rouge,2136
Aythya ferina,0,2,https://xeno-canto.org/918474/download,https://upload.wikimedia.org/wikipedia/commons/5/5c/Aythya_ferina_Sandwell_2.jpg,Common Pochard,Fuligule milouin,8744
Aythya collaris,0,3,https://xeno-canto.org/941129/download,https://upload.wikimedia.org/wikipedia/commons/9/9a/Aythya-collaris-001.jpg,Ring-necked Duck,Fuligule à collier,1703
Aythya nyroca,0,2,https://xeno-canto.org/712563/download,https://upload.wikimedia.org/wikipedia/commons/a/a2/Aythya_nyroca_at_Martin_Mere_1.jpg,Ferruginous Duck,Fuligule nyroca,2452
Aythya fuligula,0,2,https://xeno-canto.org/972509/download,https://upload.wikimedia.org/wikipedia/commons/e/eb/Tufted-Duck-male-female.jpg,Tufted Duck,Fuligule morillon,8483
Aythya marila,0,2,https://xeno-canto.org/576900/download,https://upload.wikimedia.org/wikipedia/commons/6/6c/Greater_Scaup_Drake_LBI.jpg,Greater Scaup,Fuligule milouinan,2532
Aythya affinis,0,3,https://xeno-canto.org/871073/download,https://upload.wikimedia.org/wikipedia/commons/d/d6/Lesser_Scaup_Male_JG.jpg,Lesser Scaup,Petit Fuligule,33
Polysticta stelleri,0,3,https://xeno-canto.org/203480/download,https://upload.wikimedia.org/wikipedia/commons/5/51/Steller%27s_Eider_%28Polysticta_stelleri%29_%2813667966664%29.jpg,Steller's Eider,Eider de Steller,1095
Somateria fischeri,0,3,https://xeno-canto.org/917231/download,https://upload.wikimedia.org/wikipedia/commons/f/f8/Spectacled_Eider_pair.jpg,Spectacled Eider,Eider à lunettes,1159
Somateria spectabilis,0,3,https://xeno-canto.org/964739/download,https://upload.wikimedia.org/wikipedia/commons/8/86/King_Eider_%28Somateria_spectabilis%29_%2813667616745%29.jpg,King Eider,Eider à tête grise,1891
Somateria mollissima,0,2,https://xeno-canto.org/955136/download,https://upload.wikimedia.org/wikipedia/commons/1/15/%D0%9F%D1%83%D1%85%D1%96%D0%B2%D0%BA%D0%B0_%D0%BD%D0%B0_%D0%9A%D1%96%D0%BD%D0%B1%D1%83%D1%80%D0%BD%D1%81%D1%8C%D0%BA%D1%96%D0%B9_%D0%BA%D0%BE%D1%81%D1%96.jpg,Common Eider,Eider à duvet,14060
Histrionicus histrionicus,0,2,https://xeno-canto.org/651347/download,https://upload.wikimedia.org/wikipedia/commons/7/7c/Drake_Harlequin_Perched_LBI.jpg,Harlequin Duck,Arlequin plongeur,2540
Melanitta perspicillata,0,3,https://xeno-canto.org/452395/download,https://upload.wikimedia.org/wikipedia/commons/4/49/Surf_Scoter_Drake_LBI.png,Surf Scoter,Macreuse à front blanc,843
Melanitta fusca,0,3,https://xeno-canto.org/817948/download,https://upload.wikimedia.org/wikipedia/commons/3/35/Velvet_Scoter%2C_Eyebrook_Reservoir%2C_Leics.jpg,Velvet Scoter,Macreuse brune,1023
Melanitta deglandi,0,3,https://xeno-canto.org/181618/download,https://upload.wikimedia.org/wikipedia/commons/9/9e/Melanitta_deglandi_%28White-winged_Scoter%29.jpg,White-winged Scoter,Macreuse à ailes blanches,401
Melanitta stejnegeri,0,3,https://xeno-canto.org/833157/download,https://upload.wikimedia.org/wikipedia/commons/4/45/Melanitta_stejnegeri_223375338_%28cropped%29_3.jpg,Stejneger's Scoter,Macreuse de Sibérie,106
Melanitta nigra,0,2,https://xeno-canto.org/982771/download,https://upload.wikimedia.org/wikipedia/commons/9/98/Eurasian_common_scoter.jpg,Common Scoter,Macreuse noire,3228
Melanitta americana,0,3,https://xeno-canto.org/486622/download,https://upload.wikimedia.org/wikipedia/commons/2/2c/Melanitta_americana_Barnegat_NJ.jpg,Black Scoter,Macreuse à bec jaune,736
Clangula hyemalis,0,2,https://xeno-canto.org/909900/download,https://upload.wikimedia.org/wikipedia/commons/8/8e/Long-tailed-duck.jpg,Long-tailed Duck,Harelde de Miquelon,2750
Bucephala albeola,0,3,https://xeno-canto.org/388269/download,https://upload.wikimedia.org/wikipedia/commons/4/40/Drake_Bufflehead_LBI.png,Bufflehead,Petit Garrot,30
Bucephala clangula,0,2,https://xeno-canto.org/948646/download,https://upload.wikimedia.org/wikipedia/commons/3/34/Common_Goldeneye_%28Bucephala_clangula%29.jpg,Common Goldeneye,Garrot à œil d'or,3843
Bucephala islandica,0,3,https://xeno-canto.org/488196/download,https://upload.wikimedia.org/wikipedia/commons/6/68/Barrows.goldeneye.male.010107.arp.jpg,Barrow's Goldeneye,Garrot d'Islande,1038
Mergellus albellus,0,3,https://xeno-canto.org/618773/download,https://upload.wikimedia.org/wikipedia/commons/4/47/Zwergsaeger_maenchen_weibchen.jpg,Smew,Harle piette,1731
Lophodytes cucullatus,0,2,https://xeno-canto.org/317868/download,https://upload.wikimedia.org/wikipedia/commons/7/70/Hooded_merganser_male_in_Central_Park_%2895790%29.jpg,Hooded Merganser,Harle couronné,3238
Mergus merganser,0,2,https://xeno-canto.org/959402/download,https://upload.wikimedia.org/wikipedia/commons/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg,Common Merganser,Harle bièvre,14112
Mergus serrator,0,2,https://xeno-canto.org/571300/download,https://upload.wikimedia.org/wikipedia/commons/6/65/Mergus_serrator_-New_Jersey_-USA_-winter-8.jpg,Red-breasted Merganser,Harle huppé,3290
Oxyura jamaicensis,0,2,https://xeno-canto.org/215359/download,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ruddy_Duck_%28Oxyura_jamaicensis%29_RWD2.jpg,Ruddy Duck,Érismature rousse,2714
Oxyura leucocephala,0,2,https://xeno-canto.org/462959/download,https://upload.wikimedia.org/wikipedia/commons/0/05/Whiteheadduck.jpg,White-headed Duck,Érismature à tête blanche,2302
Numida meleagris,0,2,https://xeno-canto.org/981311/download,https://upload.wikimedia.org/wikipedia/commons/a/af/Numida_meleagris_-Serengeti_National_Park%2C_Tanzania-8_%281%29.jpg,Helmeted Guineafowl,Pintade de Numidie,9774
Colinus virginianus,0,3,https://xeno-canto.org/919215/download,https://upload.wikimedia.org/wikipedia/commons/0/0c/Virginiawachtel_2007-06-16_065.jpg,Northern Bobwhite,Colin de Virginie,4
Callipepla californica,0,3,https://xeno-canto.org/570687/download,https://upload.wikimedia.org/wikipedia/commons/a/aa/California_quail.jpg,California Quail,Colin de Californie,7
Tetrastes bonasia,0,2,https://xeno-canto.org/982129/download,https://upload.wikimedia.org/wikipedia/commons/a/ab/Hazel_Grouse_imported_from_iNaturalist_photo_116195913_on_11_June_2024.jpg,Hazel Grouse,Gélinotte des bois,11708
Lagopus lagopus,0,2,https://xeno-canto.org/971601/download,https://upload.wikimedia.org/wikipedia/commons/e/ec/Lagopus_lagopus_adult_%28Denali%2C_2010%29.jpg,Willow Ptarmigan,Lagopède des saules,7347
